"","borough","year","party","seats","leader","clerk","control"
"1016.2","Kensington and Chelsea",1989,"Labour Party",15,"Joan Hanham","RS Webber","Conservative"
"1017.1","Kensington and Chelsea",1990,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1017.2","Kensington and Chelsea",1990,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1018.1","Kensington and Chelsea",1991,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1018.2","Kensington and Chelsea",1991,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1019.1","Kensington and Chelsea",1992,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1019.2","Kensington and Chelsea",1992,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1020.1","Kensington and Chelsea",1993,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1020.2","Kensington and Chelsea",1993,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1021.1","Kensington and Chelsea",1994,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1021.2","Kensington and Chelsea",1994,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1022.1","Kensington and Chelsea",1995,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1022.2","Kensington and Chelsea",1995,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1023.1","Kensington and Chelsea",1996,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1023.2","Kensington and Chelsea",1996,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1024.1","Kensington and Chelsea",1997,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1024.2","Kensington and Chelsea",1997,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1025.1","Kensington and Chelsea",1998,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1025.2","Kensington and Chelsea",1998,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1026.1","Kensington and Chelsea",1999,"Conservative",39,"Joan Hanham","Alan Taylor","Conservative"
"1026.2","Kensington and Chelsea",1999,"Labour Party",15,"Joan Hanham","Alan Taylor","Conservative"
"1027.1","Kensington and Chelsea",2000,"Conservative",39,"Merrick Cockell","Derek Myers","Conservative"
"1027.2","Kensington and Chelsea",2000,"Labour Party",15,"Merrick Cockell","Derek Myers","Conservative"
"1028.1","Kensington and Chelsea",2001,"Conservative",39,"Merrick Cockell","Derek Myers","Conservative"
"1028.2","Kensington and Chelsea",2001,"Labour Party",15,"Merrick Cockell","Derek Myers","Conservative"
"1029.1","Kensington and Chelsea",2002,"Conservative",42,"Merrick Cockell","Derek Myers","Conservative"
"1029.2","Kensington and Chelsea",2002,"Labour Party",12,"Merrick Cockell","Derek Myers","Conservative"
"1030.1","Kensington and Chelsea",2003,"Conservative",41,"Merrick Cockell","Derek Myers","Conservative"
"1030.2","Kensington and Chelsea",2003,"Labour Party",12,"Merrick Cockell","Derek Myers","Conservative"
"1030.3","Kensington and Chelsea",2003,"Liberal Democrats",1,"Merrick Cockell","Derek Myers","Conservative"
"1031.1","Kensington and Chelsea",2004,"Conservative",41,"Merrick Cockell","Derek Myers","Conservative"
"1031.2","Kensington and Chelsea",2004,"Labour Party",12,"Merrick Cockell","Derek Myers","Conservative"
"1031.3","Kensington and Chelsea",2004,"Liberal Democrats",1,"Merrick Cockell","Derek Myers","Conservative"
"1032.1","Kensington and Chelsea",2005,"Conservative",41,"Merrick Cockell","Derek Myers","Conservative"
"1032.2","Kensington and Chelsea",2005,"Labour Party",12,"Merrick Cockell","Derek Myers","Conservative"
"1032.3","Kensington and Chelsea",2005,"Liberal Democrats",1,"Merrick Cockell","Derek Myers","Conservative"
"1033.1","Kensington and Chelsea",2006,"Conservative",45,"Merrick Cockell","Derek Myers","Conservative"
"1033.2","Kensington and Chelsea",2006,"Labour Party",9,"Merrick Cockell","Derek Myers","Conservative"
"1034.1","Kensington and Chelsea",2007,"Conservative",45,"Merrick Cockell","Derek Myers","Conservative"
"1034.2","Kensington and Chelsea",2007,"Labour Party",9,"Merrick Cockell","Derek Myers","Conservative"
"1035.1","Kensington and Chelsea",2008,"Conservative",45,"Merrick Cockell","Derek Myers","Conservative"
"1035.2","Kensington and Chelsea",2008,"Labour Party",9,"Merrick Cockell","Derek Myers","Conservative"
"1036.1","Kensington and Chelsea",2009,"Conservative",45,"Merrick Cockell","Derek Myers","Conservative"
"1036.2","Kensington and Chelsea",2009,"Labour Party",8,"Merrick Cockell","Derek Myers","Conservative"
"1036.3","Kensington and Chelsea",2009,"Liberal Democrats",1,"Merrick Cockell","Derek Myers","Conservative"
"1037.1","Kensington and Chelsea",2010,"Conservative",41,"Merrick Cockell","Derek Myers","Conservative"
"1037.2","Kensington and Chelsea",2010,"Labour Party",9,"Merrick Cockell","Derek Myers","Conservative"
"1037.3","Kensington and Chelsea",2010,"Liberal Democrats",2,"Merrick Cockell","Derek Myers","Conservative"
"1037.4","Kensington and Chelsea",2010,"Independent",2,"Merrick Cockell","Derek Myers","Conservative"
"1038.1","Kensington and Chelsea",2011,"Conservative",42,"Merrick Cockell","Derek Myers","Conservative"
"1038.2","Kensington and Chelsea",2011,"Labour Party",9,"Merrick Cockell","Derek Myers","Conservative"
"1038.3","Kensington and Chelsea",2011,"Liberal Democrats",3,"Merrick Cockell","Derek Myers","Conservative"
"1039.1","Kensington and Chelsea",2012,"Conservative",42,"Merrick Cockell","Derek Myers","Conservative"
"1039.2","Kensington and Chelsea",2012,"Labour Party",9,"Merrick Cockell","Derek Myers","Conservative"
"1039.3","Kensington and Chelsea",2012,"Liberal Democrats",3,"Merrick Cockell","Derek Myers","Conservative"
"1040.1","Kensington and Chelsea",2013,"Conservative",42,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1040.2","Kensington and Chelsea",2013,"Labour Party",9,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1040.3","Kensington and Chelsea",2013,"Liberal Democrats",3,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1041.1","Kensington and Chelsea",2014,"Conservative",37,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1041.2","Kensington and Chelsea",2014,"Labour Party",12,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1041.3","Kensington and Chelsea",2014,"Liberal Democrats",1,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1042.1","Kensington and Chelsea",2015,"Conservative",37,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1042.2","Kensington and Chelsea",2015,"Labour Party",12,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1042.3","Kensington and Chelsea",2015,"Liberal Democrats",1,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1043.1","Kensington and Chelsea",2016,"Conservative",37,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1043.2","Kensington and Chelsea",2016,"Labour Party",12,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1043.3","Kensington and Chelsea",2016,"Liberal Democrats",1,"Nicholas Paget-Brown","Nicholas Holgate","Conservative"
"1044.1","Kensington and Chelsea",2017,"Conservative",37,"Elizabeth Campbell","Barry Quirk","Conservative"
"1044.2","Kensington and Chelsea",2017,"Labour Party",11,"Elizabeth Campbell","Barry Quirk","Conservative"
"1044.3","Kensington and Chelsea",2017,"Liberal Democrats",2,"Elizabeth Campbell","Barry Quirk","Conservative"
"1045.1","Kensington and Chelsea",2018,"Conservative",36,"Elizabeth Campbell","Barry Quirk","Conservative"
"1045.2","Kensington and Chelsea",2018,"Labour Party",13,"Elizabeth Campbell","Barry Quirk","Conservative"
"1045.3","Kensington and Chelsea",2018,"Liberal Democrats",1,"Elizabeth Campbell","Barry Quirk","Conservative"
"1046.1","Kingston upon Thames",1964,"Conservative",40,"Unknown","J Noel Martin","Conservative"
"1046.2","Kingston upon Thames",1964,"Labour Party",20,"Unknown","J Noel Martin","Conservative"
"1047.1","Kingston upon Thames",1965,"Conservative",40,"Unknown","J Noel Martin","Conservative"
"1047.2","Kingston upon Thames",1965,"Labour Party",20,"Unknown","J Noel Martin","Conservative"
"1048.1","Kingston upon Thames",1966,"Conservative",40,"Unknown","J Noel Martin","Conservative"
"1048.2","Kingston upon Thames",1966,"Labour Party",20,"Unknown","J Noel Martin","Conservative"
"1049.1","Kingston upon Thames",1967,"Conservative",40,"Unknown","J Noel Martin","Conservative"
"1049.2","Kingston upon Thames",1967,"Labour Party",20,"Unknown","J Noel Martin","Conservative"
"1050.1","Kingston upon Thames",1968,"Conservative",59,"Unknown","J Noel Martin","Conservative"
"1050.2","Kingston upon Thames",1968,"Labour Party",1,"Unknown","J Noel Martin","Conservative"
"1051.1","Kingston upon Thames",1969,"Conservative",59,"Unknown","J Noel Martin","Conservative"
"1051.2","Kingston upon Thames",1969,"Labour Party",1,"Unknown","J Noel Martin","Conservative"
"1052.1","Kingston upon Thames",1970,"Conservative",59,"Unknown","J Noel Martin","Conservative"
"1052.2","Kingston upon Thames",1970,"Labour Party",1,"Unknown","J Noel Martin","Conservative"
"1053.1","Kingston upon Thames",1971,"Conservative",40,"Unknown","J Noel Martin","Conservative"
"1053.2","Kingston upon Thames",1971,"Labour Party",20,"Unknown","J Noel Martin","Conservative"
"1054.1","Kingston upon Thames",1972,"Conservative",40,"CM Cotton","J Noel Martin","Conservative"
"1054.2","Kingston upon Thames",1972,"Labour Party",20,"CM Cotton","J Noel Martin","Conservative"
"1055.1","Kingston upon Thames",1973,"Conservative",40,"CM Cotton","J Noel Martin","Conservative"
"1055.2","Kingston upon Thames",1973,"Labour Party",20,"CM Cotton","J Noel Martin","Conservative"
"1056.1","Kingston upon Thames",1974,"Conservative",39,"Mike Knowles","J Bishop","Conservative"
"1056.2","Kingston upon Thames",1974,"Labour Party",15,"Mike Knowles","J Bishop","Conservative"
"1056.3","Kingston upon Thames",1974,"Liberal Democrats",6,"Mike Knowles","J Bishop","Conservative"
"1057.1","Kingston upon Thames",1975,"Conservative",39,"Mike Knowles","J Bishop","Conservative"
"1057.2","Kingston upon Thames",1975,"Labour Party",15,"Mike Knowles","J Bishop","Conservative"
"1057.3","Kingston upon Thames",1975,"Liberal Democrats",6,"Mike Knowles","J Bishop","Conservative"
"1058.1","Kingston upon Thames",1976,"Conservative",39,"Mike Knowles","J Bishop","Conservative"
"1058.2","Kingston upon Thames",1976,"Labour Party",15,"Mike Knowles","J Bishop","Conservative"
"1058.3","Kingston upon Thames",1976,"Liberal Democrats",6,"Mike Knowles","J Bishop","Conservative"
"1059.1","Kingston upon Thames",1977,"Conservative",39,"Mike Knowles","John Ashbourne","Conservative"
"1059.2","Kingston upon Thames",1977,"Labour Party",15,"Mike Knowles","John Ashbourne","Conservative"
"1059.3","Kingston upon Thames",1977,"Liberal Democrats",6,"Mike Knowles","John Ashbourne","Conservative"
"1060.1","Kingston upon Thames",1978,"Conservative",44,"Mike Knowles","John Ashbourne","Conservative"
"1060.2","Kingston upon Thames",1978,"Labour Party",6,"Mike Knowles","John Ashbourne","Conservative"
"1061.1","Kingston upon Thames",1979,"Conservative",44,"Mike Knowles","John Ashbourne","Conservative"
"1061.2","Kingston upon Thames",1979,"Labour Party",6,"Mike Knowles","John Ashbourne","Conservative"
"1062.1","Kingston upon Thames",1980,"Conservative",44,"Mike Knowles","R Tarr","Conservative"
"1062.2","Kingston upon Thames",1980,"Labour Party",6,"Mike Knowles","R Tarr","Conservative"
"1063.1","Kingston upon Thames",1981,"Conservative",44,"Mike Knowles","R Tarr","Conservative"
"1063.2","Kingston upon Thames",1981,"Labour Party",6,"Mike Knowles","R Tarr","Conservative"
"1064.1","Kingston upon Thames",1982,"Conservative",40,"Mike Knowles","George Hollis","Conservative"
"1064.2","Kingston upon Thames",1982,"Liberal Democrats",7,"Mike Knowles","George Hollis","Conservative"
"1064.3","Kingston upon Thames",1982,"Labour Party",3,"Mike Knowles","George Hollis","Conservative"
"1065.1","Kingston upon Thames",1983,"Conservative",40,"David Edwards","George Hollis","Conservative"
"1065.2","Kingston upon Thames",1983,"Liberal Democrats",7,"David Edwards","George Hollis","Conservative"
"1065.3","Kingston upon Thames",1983,"Labour Party",3,"David Edwards","George Hollis","Conservative"
"1066.1","Kingston upon Thames",1984,"Conservative",40,"David Edwards","George Hollis","Conservative"
"1066.2","Kingston upon Thames",1984,"Liberal Democrats",7,"David Edwards","George Hollis","Conservative"
"1066.3","Kingston upon Thames",1984,"Labour Party",3,"David Edwards","George Hollis","Conservative"
"1067.1","Kingston upon Thames",1985,"Conservative",40,"Frank Hartfree","George Hollis","Conservative"
"1067.2","Kingston upon Thames",1985,"Liberal Democrats",7,"Frank Hartfree","George Hollis","Conservative"
"1067.3","Kingston upon Thames",1985,"Labour Party",3,"Frank Hartfree","George Hollis","Conservative"
"1068.1","Kingston upon Thames",1986,"Conservative",24,"Chris Nicholson","George Hollis","Conservative"
"1068.2","Kingston upon Thames",1986,"Liberal Democrats",22,"Chris Nicholson","George Hollis","Conservative"
"1068.3","Kingston upon Thames",1986,"Labour Party",4,"Chris Nicholson","George Hollis","Conservative"
"1069.1","Kingston upon Thames",1987,"Conservative",24,"Steve Harris","Robert McCloy","No Overall Control"
"1069.2","Kingston upon Thames",1987,"Liberal Democrats",22,"Steve Harris","Robert McCloy","No Overall Control"
"1069.3","Kingston upon Thames",1987,"Labour Party",4,"Steve Harris","Robert McCloy","No Overall Control"
"1070.1","Kingston upon Thames",1988,"Conservative",24,"Frank Hartfree","Robert McCloy","No Overall Control"
"1070.2","Kingston upon Thames",1988,"Liberal Democrats",22,"Frank Hartfree","Robert McCloy","No Overall Control"
"1070.3","Kingston upon Thames",1988,"Labour Party",4,"Frank Hartfree","Robert McCloy","No Overall Control"
"1071.1","Kingston upon Thames",1989,"Conservative",24,"Frank Hartfree","Robert McCloy","No Overall Control"
"1071.2","Kingston upon Thames",1989,"Liberal Democrats",22,"Frank Hartfree","Robert McCloy","No Overall Control"
"1071.3","Kingston upon Thames",1989,"Labour Party",4,"Frank Hartfree","Robert McCloy","No Overall Control"
"1072.1","Kingston upon Thames",1990,"Conservative",25,"Paul Clokie","Robert McCloy","No Overall ControlConservative minority"
"1072.2","Kingston upon Thames",1990,"Liberal Democrats",18,"Paul Clokie","Robert McCloy","No Overall ControlConservative minority"
"1072.3","Kingston upon Thames",1990,"Labour Party",7,"Paul Clokie","Robert McCloy","No Overall ControlConservative minority"
"1073.1","Kingston upon Thames",1991,"Conservative",25,"Paul Clokie","Robert McCloy","No Overall ControlConservative minority"
"1073.2","Kingston upon Thames",1991,"Liberal Democrats",18,"Paul Clokie","Robert McCloy","No Overall ControlConservative minority"
"1073.3","Kingston upon Thames",1991,"Labour Party",7,"Paul Clokie","Robert McCloy","No Overall ControlConservative minority"
"1074.1","Kingston upon Thames",1992,"Conservative",25,"Paul Clokie","Timothy Hornsby","No Overall Control"
"1074.2","Kingston upon Thames",1992,"Liberal Democrats",18,"Paul Clokie","Timothy Hornsby","No Overall Control"
"1074.3","Kingston upon Thames",1992,"Labour Party",7,"Paul Clokie","Timothy Hornsby","No Overall Control"
"1075.1","Kingston upon Thames",1993,"Conservative",25,"Paul Clokie","Timothy Hornsby","No Overall ControlConservative minority"
"1075.2","Kingston upon Thames",1993,"Liberal Democrats",18,"Paul Clokie","Timothy Hornsby","No Overall ControlConservative minority"
"1075.3","Kingston upon Thames",1993,"Labour Party",7,"Paul Clokie","Timothy Hornsby","No Overall ControlConservative minority"
"1076.1","Kingston upon Thames",1994,"Liberal Democrats",26,"John Tilley","Timothy Hornsby","Liberal Democrat"
"1076.2","Kingston upon Thames",1994,"Conservative",18,"John Tilley","Timothy Hornsby","Liberal Democrat"
"1076.3","Kingston upon Thames",1994,"Labour Party",6,"John Tilley","Timothy Hornsby","Liberal Democrat"
"1077.1","Kingston upon Thames",1995,"Liberal Democrats",27,"John Tilley","Bernard Quoroll","Liberal Democrat"
"1077.2","Kingston upon Thames",1995,"Conservative",17,"John Tilley","Bernard Quoroll","Liberal Democrat"
"1077.3","Kingston upon Thames",1995,"Labour Party",6,"John Tilley","Bernard Quoroll","Liberal Democrat"
"1078.1","Kingston upon Thames",1996,"Liberal Democrats",27,"John Tilley","Bernard Quoroll","Liberal Democrat"
"1078.2","Kingston upon Thames",1996,"Conservative",17,"John Tilley","Bernard Quoroll","Liberal Democrat"
"1078.3","Kingston upon Thames",1996,"Labour Party",6,"John Tilley","Bernard Quoroll","Liberal Democrat"
"1079.1","Kingston upon Thames",1997,"Liberal Democrats",27,"Derek Osbourne","Bernard Quoroll","Liberal Democrat"
"1079.2","Kingston upon Thames",1997,"Conservative",17,"Derek Osbourne","Bernard Quoroll","Liberal Democrat"
"1079.3","Kingston upon Thames",1997,"Labour Party",6,"Derek Osbourne","Bernard Quoroll","Liberal Democrat"
"1080.1","Kingston upon Thames",1998,"Conservative",21,"David Edwards","Bernard Quoroll","No Overall Control"
"1080.2","Kingston upon Thames",1998,"Liberal Democrats",19,"David Edwards","Bernard Quoroll","No Overall Control"
"1080.3","Kingston upon Thames",1998,"Labour Party",10,"David Edwards","Bernard Quoroll","No Overall Control"
"1081.1","Kingston upon Thames",1999,"Conservative",21,"David Edwards","Bruce McDonald","No Overall Control"
"1081.2","Kingston upon Thames",1999,"Liberal Democrats",19,"David Edwards","Bruce McDonald","No Overall Control"
"1081.3","Kingston upon Thames",1999,"Labour Party",10,"David Edwards","Bruce McDonald","No Overall Control"
"1082.1","Kingston upon Thames",2000,"Conservative",20,"David Edwards","Bruce McDonald","No Overall Control"
"1082.2","Kingston upon Thames",2000,"Liberal Democrats",19,"David Edwards","Bruce McDonald","No Overall Control"
"1082.3","Kingston upon Thames",2000,"Labour Party",10,"David Edwards","Bruce McDonald","No Overall Control"
"1082.4","Kingston upon Thames",2000,"Independent",1,"David Edwards","Bruce McDonald","No Overall Control"
"1083.1","Kingston upon Thames",2001,"Liberal Democrats",19,"Kevin Davis","Bruce McDonald","No Overall Control"
"1083.2","Kingston upon Thames",2001,"Conservative",18,"Kevin Davis","Bruce McDonald","No Overall Control"
"1083.3","Kingston upon Thames",2001,"Labour Party",10,"Kevin Davis","Bruce McDonald","No Overall Control"
"1083.4","Kingston upon Thames",2001,"Independent",3,"Kevin Davis","Bruce McDonald","No Overall Control"
"1084.1","Kingston upon Thames",2002,"Liberal Democrats",30,"Roger Hayes","Bruce McDonald","Liberal Democrat"
"1084.2","Kingston upon Thames",2002,"Conservative",15,"Roger Hayes","Bruce McDonald","Liberal Democrat"
"1084.3","Kingston upon Thames",2002,"Labour Party",3,"Roger Hayes","Bruce McDonald","Liberal Democrat"
"1085.1","Kingston upon Thames",2003,"Liberal Democrats",30,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1085.2","Kingston upon Thames",2003,"Conservative",15,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1085.3","Kingston upon Thames",2003,"Labour Party",3,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1086.1","Kingston upon Thames",2004,"Liberal Democrats",30,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1086.2","Kingston upon Thames",2004,"Conservative",15,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1086.3","Kingston upon Thames",2004,"Labour Party",3,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1087.1","Kingston upon Thames",2005,"Liberal Democrats",30,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1087.2","Kingston upon Thames",2005,"Conservative",15,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1087.3","Kingston upon Thames",2005,"Labour Party",3,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1088.1","Kingston upon Thames",2006,"Liberal Democrats",25,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1088.2","Kingston upon Thames",2006,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1088.3","Kingston upon Thames",2006,"Labour Party",2,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1089.1","Kingston upon Thames",2007,"Liberal Democrats",25,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1089.2","Kingston upon Thames",2007,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1089.3","Kingston upon Thames",2007,"Labour Party",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1089.4","Kingston upon Thames",2007,"Independent",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1090.1","Kingston upon Thames",2008,"Liberal Democrats",25,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1090.2","Kingston upon Thames",2008,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1090.3","Kingston upon Thames",2008,"Independent",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1090.4","Kingston upon Thames",2008,"Labour Party",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1091.1","Kingston upon Thames",2009,"Liberal Democrats",25,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1091.2","Kingston upon Thames",2009,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1091.3","Kingston upon Thames",2009,"Labour Party",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1091.4","Kingston upon Thames",2009,"Independent",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1092.1","Kingston upon Thames",2010,"Liberal Democrats",27,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1092.2","Kingston upon Thames",2010,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1093.1","Kingston upon Thames",2011,"Liberal Democrats",26,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1093.2","Kingston upon Thames",2011,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1093.3","Kingston upon Thames",2011,"Independent",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1094.1","Kingston upon Thames",2012,"Liberal Democrats",26,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1094.2","Kingston upon Thames",2012,"Conservative",21,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1094.3","Kingston upon Thames",2012,"Independent",1,"Derek Osbourne","Bruce McDonald","Liberal Democrat"
"1095.1","Kingston upon Thames",2013,"Liberal Democrats",25,"Liz Green","Bruce McDonald","Liberal Democrat"
"1095.2","Kingston upon Thames",2013,"Conservative",22,"Liz Green","Bruce McDonald","Liberal Democrat"
"1095.3","Kingston upon Thames",2013,"Independent",1,"Liz Green","Bruce McDonald","Liberal Democrat"
"1096.1","Kingston upon Thames",2014,"Conservative",28,"Kevin Davis","Bruce McDonald","Conservative"
"1096.2","Kingston upon Thames",2014,"Liberal Democrats",18,"Kevin Davis","Bruce McDonald","Conservative"
"1096.3","Kingston upon Thames",2014,"Labour Party",2,"Kevin Davis","Bruce McDonald","Conservative"
"1097.1","Kingston upon Thames",2015,"Conservative",28,"Kevin Davis","Bruce McDonald","Conservative"
"1097.2","Kingston upon Thames",2015,"Liberal Democrats",18,"Kevin Davis","Bruce McDonald","Conservative"
"1097.3","Kingston upon Thames",2015,"Labour Party",2,"Kevin Davis","Bruce McDonald","Conservative"
"1098.1","Kingston upon Thames",2016,"Conservative",28,"Kevin Davis","Charlie Adan","Conservative"
"1098.2","Kingston upon Thames",2016,"Liberal Democrats",18,"Kevin Davis","Charlie Adan","Conservative"
"1098.3","Kingston upon Thames",2016,"Labour Party",2,"Kevin Davis","Charlie Adan","Conservative"
"1099.1","Kingston upon Thames",2017,"Conservative",27,"Kevin Davis","Charlie Adan","Conservative"
"1099.2","Kingston upon Thames",2017,"Liberal Democrats",18,"Kevin Davis","Charlie Adan","Conservative"
"1099.3","Kingston upon Thames",2017,"Labour Party",2,"Kevin Davis","Charlie Adan","Conservative"
"1099.4","Kingston upon Thames",2017,"Independent",1,"Kevin Davis","Charlie Adan","Conservative"
"1100.1","Kingston upon Thames",2018,"Liberal Democrats",39,"Liz Green","Ian Thomas","Liberal Democrat"
"1100.2","Kingston upon Thames",2018,"Conservative",9,"Liz Green","Ian Thomas","Liberal Democrat"
"1101.1","Lambeth",1964,"Labour Party",42,"Unknown","John E Fishwick","Labour"
"1101.2","Lambeth",1964,"Conservative",18,"Unknown","John E Fishwick","Labour"
"1102.1","Lambeth",1965,"Labour Party",42,"Unknown","John E Fishwick","Labour"
"1102.2","Lambeth",1965,"Conservative",18,"Unknown","John E Fishwick","Labour"
"1103.1","Lambeth",1966,"Labour Party",42,"Unknown","John E Fishwick","Labour"
"1103.2","Lambeth",1966,"Conservative",18,"Unknown","John E Fishwick","Labour"
"1104.1","Lambeth",1967,"Labour Party",42,"Unknown","John E Fishwick","Labour"
"1104.2","Lambeth",1967,"Conservative",18,"Unknown","John E Fishwick","Labour"
"1105.1","Lambeth",1968,"Conservative",57,"Unknown","John E Fishwick","Conservative"
"1105.2","Lambeth",1968,"Labour Party",3,"Unknown","John E Fishwick","Conservative"
"1106.1","Lambeth",1969,"Conservative",57,"Unknown","John E Fishwick","Conservative"
"1106.2","Lambeth",1969,"Labour Party",3,"Unknown","John E Fishwick","Conservative"
"1107.1","Lambeth",1970,"Conservative",57,"Unknown","F Dixon-Ward","Conservative"
"1107.2","Lambeth",1970,"Labour Party",3,"Unknown","F Dixon-Ward","Conservative"
"1108.1","Lambeth",1971,"Labour Party",51,"Unknown","F Dixon-Ward","Labour"
"1108.2","Lambeth",1971,"Conservative",9,"Unknown","F Dixon-Ward","Labour"
"1109.1","Lambeth",1972,"Labour Party",51,"Unknown","F Dixon-Ward","Labour"
"1109.2","Lambeth",1972,"Conservative",9,"Unknown","F Dixon-Ward","Labour"
"1110.1","Lambeth",1973,"Labour Party",51,"David Stimpson","F Dixon-Ward","Labour"
"1110.2","Lambeth",1973,"Conservative",9,"David Stimpson","F Dixon-Ward","Labour"
"1111.1","Lambeth",1974,"Labour Party",46,"David Stimpson","F Dixon-Ward","Labour"
"1111.2","Lambeth",1974,"Conservative",14,"David Stimpson","F Dixon-Ward","Labour"
"1112.1","Lambeth",1975,"Labour Party",46,"David Stimpson","F Dixon-Ward","Labour"
"1112.2","Lambeth",1975,"Conservative",14,"David Stimpson","F Dixon-Ward","Labour"
"1113.1","Lambeth",1976,"Labour Party",46,"David Stimpson","F Dixon-Ward","Labour"
"1113.2","Lambeth",1976,"Conservative",14,"David Stimpson","F Dixon-Ward","Labour"
"1114.1","Lambeth",1977,"Labour Party",46,"David Stimpson","F Dixon-Ward","Labour"
"1114.2","Lambeth",1977,"Conservative",14,"David Stimpson","F Dixon-Ward","Labour"
"1115.1","Lambeth",1978,"Labour Party",42,"Ted Knight","F Dixon-Ward","Labour"
"1115.2","Lambeth",1978,"Conservative",22,"Ted Knight","F Dixon-Ward","Labour"
"1116.1","Lambeth",1979,"Labour Party",42,"Ted Knight","F Dixon-Ward","Labour"
"1116.2","Lambeth",1979,"Conservative",22,"Ted Knight","F Dixon-Ward","Labour"
"1117.1","Lambeth",1980,"Labour Party",42,"Ted Knight","John George","Labour"
"1117.2","Lambeth",1980,"Conservative",22,"Ted Knight","John George","Labour"
"1118.1","Lambeth",1981,"Labour Party",42,"Ted Knight","John George","Labour"
"1118.2","Lambeth",1981,"Conservative",22,"Ted Knight","John George","Labour"
"1119.1","Lambeth",1982,"Labour Party",32,"Ted Knight","John George","No Overall Control"
"1119.2","Lambeth",1982,"Conservative",27,"Ted Knight","John George","No Overall Control"
"1119.3","Lambeth",1982,"Liberal Democrats",5,"Ted Knight","John George","No Overall Control"
"1120.1","Lambeth",1983,"Labour Party",32,"Ted Knight","John George","No Overall Control"
"1120.2","Lambeth",1983,"Conservative",27,"Ted Knight","John George","No Overall Control"
